Time,LogSeconds,LogMilliseconds,DelayLevelInPercentage,ECU_ON_Injector_Microseconds,ComputedDelayToAddInMicroseconds,DelayAddedInMicroseconds,OnInjectorMicroseconds,OffInjectorMicroseconds,WarningCount,RPMs,NewInjectorDutyCycle (%),EcuInjectorDutyCycle (%)
15:10:54,16,953,5,7300,300,400,7700,54100,0,1963,12.45954693,11.81229773
15:10:55,17,14,5,7300,300,400,7700,54000,0,1954,12.47974068,11.83144246
15:10:55,17,75,5,7300,300,400,7700,54200,0,1957,12.43941842,11.79321486
15:10:55,17,137,5,7300,300,400,7700,54400,0,1951,12.39935588,11.75523349
15:10:55,17,198,5,7300,300,400,7700,54000,0,1944,12.47974068,11.83144246
15:10:55,17,259,5,7300,300,400,7700,54200,0,1957,12.43941842,11.79321486
15:10:55,17,321,5,7300,300,400,7700,54900,0,1951,12.30031949,11.66134185
15:10:55,17,384,5,7300,300,400,7700,55200,0,1929,12.24165342,11.60572337
15:10:55,17,447,5,7300,300,400,7700,55500,0,1920,12.1835443,11.55063291
15:10:55,17,509,5,7300,300,400,7700,55600,0,1910,12.164297,11.53238547
15:10:55,17,572,5,7300,300,400,7700,55300,0,1907,12.22222222,11.58730159
15:10:55,17,633,5,7300,300,400,7700,55200,0,1916,12.24165342,11.60572337
15:10:55,17,696,5,7300,300,400,7700,55000,0,1920,12.28070175,11.64274322
15:10:55,17,758,5,7300,300,400,7700,54900,0,1926,12.30031949,11.66134185
15:10:55,17,819,5,7400,300,400,7800,54800,0,1929,12.4600639,11.82108626
15:10:55,17,882,5,7300,300,400,7700,54500,0,1929,12.37942122,11.73633441
15:10:55,17,944,5,7300,300,400,7700,54900,0,1941,12.30031949,11.66134185
15:10:56,18,7,5,7300,300,400,7700,55700,0,1929,12.14511041,11.51419558
15:10:56,18,70,5,7300,300,400,7700,55700,0,1904,12.14511041,11.51419558
15:10:56,18,133,5,7300,300,400,7700,55700,0,1904,12.14511041,11.51419558
15:10:56,18,196,5,7300,300,400,7700,56200,0,1904,12.05007825,11.42410016
15:10:56,18,260,5,7300,300,400,7700,56300,0,1889,12.03125,11.40625
15:10:56,18,323,5,7300,300,400,7700,56000,0,1886,12.08791209,11.4599686
15:10:56,18,386,5,7300,300,400,7700,56400,0,1895,12.0124805,11.38845554
15:10:56,18,450,5,7300,300,400,7700,56500,0,1883,11.99376947,11.37071651
